"ID";"Type";"Name";"Documentation";"Source";"Target";"Specialization"
"id-ca20670d14334a5c9b2c34d77d2d6252";"CompositionRelationship";"";"";"id-853515f1613342919fd0449ed2f605c5";"id-51be4e7be22c46bb865d6b292a0c60d8";""
"id-62beae8f9fdc428bad1b0a33da20f8ac";"CompositionRelationship";"";"";"id-853515f1613342919fd0449ed2f605c5";"id-e6193e48354d48efa6677859be045753";""
"id-45a8364bca524d77bd5147feca2b2ac1";"CompositionRelationship";"";"";"id-853515f1613342919fd0449ed2f605c5";"id-bd7e6c82918445c5b6fd0a3b8a88cbf2";""
"id-5b8c42db9b9d4514b5b46e7641833566";"CompositionRelationship";"";"";"id-853515f1613342919fd0449ed2f605c5";"id-e8c06f10cf534132a63a1f8b485f5b58";""
"id-684f9b2368054a1786f99e207b534084";"CompositionRelationship";"";"";"id-00057effd51c419092a5e7a51f539a78";"id-543bd0ce69814feabc865ac4328b446f";""
"id-e0272fcf196f405bbe75a6f7c4d9fbda";"CompositionRelationship";"";"";"id-00057effd51c419092a5e7a51f539a78";"id-c9c4b56adf8e4117a235376d5a85083a";""
"id-054211ef62354c47ad5f1edc6b65ee49";"CompositionRelationship";"";"";"id-00057effd51c419092a5e7a51f539a78";"id-e66a8e0c78df45b0acc5f7bee6f71283";""
"id-3df5e027f32f49dbb36525bd5487c470";"CompositionRelationship";"";"";"id-00057effd51c419092a5e7a51f539a78";"id-8f418e521ca9468f89a0ca31c899282b";""
"id-b1ca62b0866f4d9a8dfab39f8af09614";"CompositionRelationship";"";"";"id-34d966a68caa4eb9b59c9a2804bd76ec";"id-2b815fba57bd419095be185601d5ce63";""
"id-2c6d262580b7481cb10d4bbee4d66f4e";"CompositionRelationship";"";"";"id-34d966a68caa4eb9b59c9a2804bd76ec";"id-d5041c2e29224a47bd5843de41af06b9";""
"id-3b669fe0fd7344038506302b7a45fe33";"CompositionRelationship";"";"";"id-34d966a68caa4eb9b59c9a2804bd76ec";"id-f657fd34b7664460a59ded94991fc2d2";""
"id-9462ed847bf040a7a9f3ae1703f4fe5f";"CompositionRelationship";"";"";"id-34d966a68caa4eb9b59c9a2804bd76ec";"id-d9d50799a8b44b15bf89755354254a3f";""
"id-8a04b19925ac45d5a38f92041c406ed6";"CompositionRelationship";"";"";"id-c09a134893334fac8b6e935bf259f49a";"id-42988b8553f34222ada74e7767f87e53";""
"id-367557fa87da45fd94baa8560612449b";"CompositionRelationship";"";"";"id-c09a134893334fac8b6e935bf259f49a";"id-fa43c5c4dce14f3590507ebe4c3fc3b2";""
"id-4ac3743627d242a2a6845bdd99f26349";"CompositionRelationship";"";"";"id-c09a134893334fac8b6e935bf259f49a";"id-f079fa7e7feb42e8b457fafd59281a96";""
"id-0bdd5d65c44d47b3be629eae62fdc114";"CompositionRelationship";"";"";"id-c09a134893334fac8b6e935bf259f49a";"id-cba01836603942c3857526d9a75074d4";""
"id-4c0a0d40740f43599a35e842a418f4cd";"CompositionRelationship";"";"";"id-c09a134893334fac8b6e935bf259f49a";"id-e3c0afcf52a841ac8f90acf1864f39c4";""
"id-801864861aa54668987cb065e793b75c";"CompositionRelationship";"";"";"id-c09a134893334fac8b6e935bf259f49a";"id-aec656e68a4d4136a815cb7973888625";""
"id-4ddb4454cf744fc990aa57bdbf293767";"CompositionRelationship";"";"";"id-7f35d538c5d14fb5ac40aeb904626a78";"id-f32a9b86a3eb4109be0d303149afa8ad";""
"id-c337a46483714f72b86faf2a5968a22d";"CompositionRelationship";"";"";"id-34d966a68caa4eb9b59c9a2804bd76ec";"id-518ffeef465a44169c23f8bdfdae043f";""
"id-0ba544a6012a498895f32ae98db33ed2";"FlowRelationship";"";"";"id-fc85299545c146da9d83a70842a79dee";"id-dc81dac9f74b41349be573084f79da4e";""
"id-b53d97940df84862888e7e336f9aeee2";"FlowRelationship";"";"";"id-dc81dac9f74b41349be573084f79da4e";"id-78170a866bef4a7ab489e956abc1edde";""
"id-a6f6e94dc459437b935879697783f87c";"FlowRelationship";"";"";"id-78170a866bef4a7ab489e956abc1edde";"id-bdd7abee05394ba9aa410ca0dcb49055";""
"id-fa16ac35be22442fa5ab6acb1f0154c5";"FlowRelationship";"";"";"id-ba15d8fe78c147dc9a97344e1c1d1ffa";"id-f285f6424b3b44ab80222c7b224de3ff";""
"id-bafbd8629522476492591cef01c92ab7";"FlowRelationship";"";"";"id-2f3fe8c9e7274541a5d494f8e8caecef";"id-f285f6424b3b44ab80222c7b224de3ff";""
"id-c0934f4dd3f84aceb84fd27db549ae24";"FlowRelationship";"";"";"id-67d92293805648fcb995e897cfe7d790";"id-9ff5d8b1ea8e4a1eaea060fc31d782c5";""
"id-4343b32c3b984748983b2692cd3b32dc";"FlowRelationship";"comportamiento de clientes";"";"id-42a8aa379fd645e29cfe9fad3a5158d8";"id-7ce7d0b450e34c718b860708b906b15b";""
"id-dcda568a000f41128346c1f099db2409";"FlowRelationship";"Data de cliente";"";"id-f134ed0a1eb845aea3e33e6cf25607d7";"id-7aeff755ee2841e2b44e6f0cfc8327f7";""
"id-3232e498d68a450ead23ddfc68d8c2f9";"FlowRelationship";"dinero";"";"id-d6fa6589514d484d8545cd38f9d550d8";"id-8b2d8b6f780d4355943fbfa66deea48b";""
"id-81d2584e22724b01a86e4ef4fd0a4855";"FlowRelationship";"dinero";"";"id-8b2d8b6f780d4355943fbfa66deea48b";"id-d6fa6589514d484d8545cd38f9d550d8";""
"id-8a1827981e62451b86f3dc6665a0dc1b";"FlowRelationship";"dinero";"";"id-379e50da41e4489a906315083fac9b44";"id-d6fa6589514d484d8545cd38f9d550d8";""
"id-2abd8e41b8b84b60bc02ec8be0dde312";"FlowRelationship";"dinero";"";"id-d6fa6589514d484d8545cd38f9d550d8";"id-379e50da41e4489a906315083fac9b44";""
"id-4b021fcc47eb4e1dba5eefc9418df211";"FlowRelationship";"documentos";"";"id-466b709d0230428a98b7a42d1b2b82eb";"id-dc114c3d90694f878eb5588a72edef37";""
"id-83b26ad501e04e18bb1d2df85b4be982";"FlowRelationship";"documentos";"";"id-dc114c3d90694f878eb5588a72edef37";"id-466b709d0230428a98b7a42d1b2b82eb";""
"id-c49e90807d2d421d97ba6e5b8c6ce67a";"FlowRelationship";"estado de pago de primas";"";"id-9ff5d8b1ea8e4a1eaea060fc31d782c5";"id-8b2d8b6f780d4355943fbfa66deea48b";""
"id-aca4bb00742341eeb4847de25108efc0";"FlowRelationship";"info de cliente";"";"id-07b95f7382f84e96be0d38803df4d5b9";"id-ba15d8fe78c147dc9a97344e1c1d1ffa";""
